Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2011;Västernorrlands län;12,08;50,45;241,95;556,48;680,72;1101,93;1100,63;729,58;509,88;488,05
2011;Jämtlands län;22,99;122,13;338,41;619,13;983,98;740,09;1118,57;1035,32;1002,51;565,88
2011;Västerbottens län;36,03;122,51;203,97;551,47;837,97;962,24;1134,62;933,18;871,27;517,79
2011;Norrbottens län;0,00;69,70;225,20;407,59;579,54;814,29;935,55;627,06;326,87;387,37
2010;Riket;24,27;107,55;286,26;558,36;866,46;978,96;1000,27;933,76;638,31;497,60
2010;Stockholms län;21,83;133,67;304,09;592,59;930,45;1057,69;1028,39;1067,51;670,83;492,55
2010;Uppsala län;36,67;118,70;415,82;501,41;897,41;847,60;668,42;857,82;384,84;461,71
2010;Södermanlands län;10,81;34,77;186,31;626,55;937,41;863,90;1101,17;585,75;724,35;492,17
2010;Östergötlands län;20,91;89,71;375,75;700,04;1001,15;1352,53;1408,12;1371,14;1201,80;665,25
2010;Jönköpings län;17,61;141,32;211,93;611,10;958,87;1084,17;1176,02;1112,23;705,52;552,68
2010;Kronobergs län;50,30;158,09;372,03;846,46;1120,03;1067,99;1036,62;1147,96;554,85;637,49
2010;Kalmar län;38,19;158,60;284,39;439,83;630,55;843,36;682,11;954,05;379,65;434,95
2010;Gotlands län;52,51;147,71;197,14;502,40;312,26;743,49;627,29;613,50;530,04;353,07
2010;Blekinge län;58,31;105,78;207,21;623,45;875,80;1160,12;814,45;1060,87;645,37;547,76
2010;Skåne län;24,10;112,19;294,29;517,23;784,26;827,61;876,50;811,93;497,02;449,87
2010;Hallands län;19,60;94,60;342,01;525,43;843,93;1172,15;1341,27;829,40;570,18;540,07
2010;Västra Götalands län;25,88;106,49;295,73;596,15;958,40;1043,61;1047,37;904,05;690,59;523,23
2010;Värmlands län;10,64;99,24;270,96;454,01;627,59;773,45;549,84;674,04;744,15;398,97
2010;Örebro län;0,00;35,12;181,97;531,78;681,18;852,51;1078,62;637,86;590,51;428,22
2010;Västmanlands län;33,73;99,49;305,81;539,33;739,27;1030,47;996,64;1015,57;557,34;498,34
2010;Dalarnas län;21,53;75,98;184,82;406,05;780,26;649,81;817,49;976,43;643,41;420,22
2010;Gävleborgs län;20,89;65,93;233,71;356,84;667,62;776,61;783,67;800,44;516,99;396,24
2010;Västernorrlands län;24,96;85,86;252,39;581,15;903,77;899,37;1219,51;1116,43;853,06;551,93
2010;Jämtlands län;0,00;166,63;315,07;537,91;1031,18;1284,80;859,73;840,08;291,23;543,10
2010;Västerbottens län;36,73;83,97;310,67;508,59;1067,04;921,74;1552,05;1187,73;713,81;581,38
2010;Norrbottens län;34,42;57,43;211,08;558,98;721,75;1091,70;872,90;641,54;432,59;455,97
2009;Riket;25,12;123,46;308,03;636,09;963,07;1076,38;1045,51;955,84;774,54;544,27
2009;Stockholms län;22,89;140,90;313,74;701,65;1038,57;1171,23;1177,11;979,01;703,50;539,46
2009;Uppsala län;38,21;108,82;250,08;728,22;756,80;860,83;748,88;873,93;697,81;470,90
2009;Södermanlands län;22,41;139,67;271,55;633,79;1026,89;1186,08;1123,85;1104,79;616,40;585,20
2009;Östergötlands län;14,42;67,75;262,99;615,64;1031,02;929,00;1703,20;1426,92;1218,27;617,66
2009;Jönköpings län;27,20;159,59;382,98;875,49;988,75;1337,90;1515,01;1104,83;773,20;675,53
2009;Kronobergs län;103,62;104,83;398,11;825,87;1152,17;1562,29;1105,53;1101,23;871,12;702,43
2009;Kalmar län;13,00;91,06;379,23;867,82;1177,52;1176,47;1067,49;895,86;734,87;651,06
2009;Gotlands län;0,00;48,74;622,31;501,71;821,24;1521,22;1293,10;1034,74;540,05;602,88
2009;Blekinge län;0,00;127,38;162,29;554,41;1057,42;1024,36;759,36;912,32;1101,04;539,48
2009;Skåne län;32,49;139,72;336,39;614,72;912,51;983,67;870,26;814,21;546,17;507,88
2009;Hallands län;20,39;136,94;275,82;675,61;1080,82;1197,80;1000,54;1271,13;855,43;603,02
2009;Västra Götalands län;19,12;129,09;324,89;589,76;1009,87;1013,81;878,96;857,08;946,60;526,65
2009;Värmlands län;10,98;98,73;308,07;554,91;896,07;706,95;802,25;924,79;289,23;460,98
