Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2011;Värmlands län;­­;­­;­­;10,12;88,63;111,00;245,12;533,05;898,41;114,67
2011;Örebro län;­­;­­;11,54;10,51;54,76;81,08;284,77;665,40;1109,67;121,68
2011;Västmanlands län;­­;­­;12,88;11,54;75,31;135,75;197,04;535,74;1390,06;128,09
2011;Dalarnas län;10,59;­­;­­;28,39;103,00;151,86;304,88;641,20;1065,78;141,36
2011;Gävleborgs län;­­;­­;­­;29,06;51,46;183,87;226,69;577,24;1124,41;125,87
2011;Västernorrlands län;­­;­­;­­;33,39;59,71;100,18;359,39;570,98;977,27;122,88
2011;Jämtlands län;­­;24,43;­­;42,70;68,65;140,97;357,94;852,62;1002,51;153,12
2011;Västerbottens län;­­;12,25;­­;34,47;65,47;181,55;283,65;533,24;1089,09;128,11
2011;Norrbottens län;­­;­­;­­;21,45;84,52;132,95;207,90;501,65;933,92;104,74
2010;Riket;0,62;1,69;9,73;30,09;72,36;137,67;294,41;549,68;1054,60;121,02
2010;Stockholms län;1,36;­­;5,33;24,40;69,38;122,16;274,55;524,05;944,93;94,83
2010;Uppsala län;­­;­­;10,14;27,35;110,79;84,76;453,57;667,20;1116,03;131,92
2010;Södermanlands län;­­;­­;11,64;50,53;114,32;130,40;229,41;520,66;1167,00;129,17
2010;Östergötlands län;­­;­­;7,67;42,43;65,65;116,60;411,36;498,60;1452,18;146,49
2010;Jönköpings län;­­;­­;­­;35,95;85,23;225,87;404,86;884,73;987,72;163,45
2010;Kronobergs län;­­;­­;­­;31,35;18,67;78,15;267,51;637,76;1210,59;130,96
2010;Kalmar län;­­;­­;­­;33,83;64,34;175,70;211,69;508,82;1100,99;128,88
2010;Gotlands län;­­;­­;49,29;­­;52,04;­­;104,55;460,12;1766,78;117,69
2010;Blekinge län;­­;­­;­­;36,67;19,90;80,94;354,11;404,14;774,44;102,17
2010;Skåne län;­­;5,34;19,07;30,73;64,14;203,78;231,85;440,11;903,67;114,14
2010;Hallands län;9,80;­­;10,69;19,83;22,50;125,03;194,70;514,80;1106,83;112,90
2010;Västra Götalands län;­­;6,03;10,49;25,58;84,77;110,03;282,84;516,60;1075,04;119,62
2010;Värmlands län;­­;­­;10,84;9,87;35,52;128,91;346,20;431,38;921,33;112,65
